Policy_ID,User_ID,Created_At,Effective_Date,Canceled_Date,Renewal_Date,Annual_Premium,Tier,Base_Deductible,State,Personal_Property_Limit,Personal_Liability_Limit,Type
LP78124789,LU47026018,2022-12-14,2022-12-23,,2023-12-13,345,1,500,UT,"40,000","100,000",renters
LP49463902,LU96317065,2022-08-22,2022-08-27,,2023-08-21,82,3,250,MA,"10,000","200,000",renters
LP41231419,LU34546131,2024-12-09,2024-12-13,2025-02-21,2025-12-09,288,5,1000,NE,"20,000","100,000",pet
LP93831233,LU56642974,2023-07-27,2023-07-28,2023-12-05,2024-07-27,132,3,250,AK,"40,000","500,000",pet
LP24686337,LU33931719,2022-12-21,2022-12-21,2023-04-18,2023-12-20,289,3,500,MA,"40,000","500,000",pet
LP54599278,LU27379481,2022-02-06,2022-02-18,,2023-02-06,249,1,250,WA,"20,000","100,000",pet
LP98337516,LU46009796,2022-08-30,2022-09-08,2023-03-30,2023-08-29,321,2,1000,WA,"20,000","100,000",renters
LP05591011,LU11089206,2023-12-11,2023-12-16,,2024-12-11,244,5,250,OK,"10,000","250,000",pet
LP76868859,LU44425519,2023-07-19,2023-07-24,2024-04-15,2024-07-19,68,1,500,WI,"30,000","1,500,000",home
LP19323172,LU59581123,2024-04-04,2024-04-07,2025-03-05,2025-04-04,96,3,1000,SD,"10,000","100,000",car
LP16001802,LU06210998,2023-05-15,2023-05-27,,2024-05-15,342,5,500,UT,"40,000","250,000",home
LP36668286,LU71085113,2024-08-06,2024-08-20,,2025-08-06,194,4,250,ND,"20,000","200,000",renters
LP32436072,LU96725133,2023-08-19,2023-08-21,,2024-08-19,107,3,500,OH,"20,000","200,000",renters
LP97762112,LU92364570,2022-08-06,2022-08-06,,2023-08-05,100,,1000,SC,"40,000","250,000",car
LP24994260,LU71511093,2023-01-17,2023-01-20,2023-11-18,2024-01-16,268,,250,DE,"30,000","250,000",home
LP95865379,LU31403310,2022-05-16,2022-05-22,2022-10-03,2023-05-15,69,,500,DE,"30,000","250,000",home
LP89755873,LU18233908,2024-11-22,2024-11-23,2025-03-08,2025-11-22,172,1,1000,CO,"20,000","200,000",home
LP91663408,LU86548957,2022-01-11,2022-01-21,2022-05-31,2023-01-11,211,5,1000,MN,"10,000","250,000",renters
LP25281368,LU84695667,2023-04-23,2023-05-06,,2024-04-23,254,5,250,IN,"20,000","1,500,000",car
LP04653567,LU70858605,2024-02-25,2024-03-12,,2025-02-25,294,3,250,ME,"40,000","100,000",home
LP59156930,LU44624921,2024-06-23,2024-07-05,,2025-06-23,70,,250,IN,"30,000","250,000",pet
LP96452438,LU87876535,2024-04-08,2024-04-16,2024-10-09,2025-04-08,214,3,1000,UT,"40,000","1,500,000",car
LP50784853,LU82631801,2022-07-04,2022-07-10,2022-10-28,2023-07-03,157,2,250,CO,"10,000","1,500,000",home
LP46188710,LU43530393,2022-01-05,2022-01-05,,2023-01-05,90,2,500,WI,"10,000","250,000",home
LP18163519,LU90885465,2022-08-31,2022-09-14,,2023-08-30,62,,1000,WV,"30,000","1,500,000",renters
LP90578819,LU26138349,2023-03-01,2023-03-08,,2024-03-01,84,,250,CT,"20,000","500,000",home
LP62029865,LU69633758,2022-06-05,2022-06-20,,2023-06-04,100,1,1000,MO,"30,000","500,000",renters
LP93634812,LU79055596,2024-04-25,2024-05-08,2024-09-12,2025-04-25,236,4,250,SD,"40,000","200,000",pet
LP76349828,LU18735107,2022-05-25,2022-06-05,2023-03-13,2023-05-24,105,1,1000,NV,"20,000","500,000",home
LP24447236,LU27090378,2024-06-24,2024-07-08,2024-10-18,2025-06-24,182,5,1000,AK,"10,000","250,000",renters
LP30543221,LU41337988,2023-01-05,2023-01-18,,2024-01-04,248,1,250,MT,"40,000","1,500,000",home
LP91850163,LU06696812,2022-05-30,2022-06-09,,2023-05-29,220,4,500,TX,"30,000","250,000",renters
LP25443598,LU67989878,2023-05-29,2023-06-06,,2024-05-29,154,1,1000,SD,"10,000","1,500,000",car
LP05021254,LU39997822,2023-08-01,2023-08-08,,2024-08-01,214,5,250,AK,"20,000","200,000",pet
LP65454911,LU67759684,2022-11-24,2022-12-04,,2023-11-23,162,2,1000,NE,"20,000","500,000",pet
LP81250681,LU28983231,2023-08-28,2023-08-28,,2024-08-28,273,,250,TX,"10,000","1,500,000",home
LP87906203,LU00462537,2023-07-29,2023-08-04,2024-02-14,2024-07-29,358,3,500,ME,"40,000","100,000",car
LP43293143,LU34877181,2022-01-10,2022-01-18,2022-10-17,2023-01-10,317,3,500,RI,"30,000","250,000",car
LP91235846,LU67189137,2023-01-17,2023-01-24,,2024-01-16,259,3,1000,TX,"20,000","500,000",renters
LP69554707,LU37628840,2023-03-31,2023-04-09,,2024-03-31,74,5,1000,KS,"30,000","1,500,000",car
LP01780944,LU59029874,2022-12-21,2022-12-29,2023-08-19,2023-12-20,138,3,250,GA,"20,000","500,000",pet
LP48706609,LU66997900,2023-11-19,2023-11-20,,2024-11-19,171,2,1000,NE,"40,000","1,500,000",renters
LP90322928,LU91133704,2024-03-22,2024-04-06,2025-02-26,2025-03-22,143,1,500,FL,"20,000","250,000",renters
LP43335514,LU83832593,2024-07-25,2024-07-25,2024-10-27,2025-07-25,164,,250,NC,"10,000","250,000",home
LP21789586,LU60496163,2023-09-25,2023-10-09,2024-03-22,2024-09-25,244,2,500,WA,"20,000","200,000",car
LP35500689,LU43425085,2023-11-10,2023-11-17,2023-12-05,2024-11-10,267,5,1000,NC,"10,000","200,000",car
LP03866496,LU55411016,2023-03-14,2023-03-19,,2024-03-14,341,4,500,MS,"30,000","100,000",pet
